date,parcel_id,ndvi,precipitation_sum,temperature_2m_max,target_ndvi_7d
2025-02-12,Parsel_A,0.3655541804130695,0.8,4.2,0.45473076101492516
2025-02-13,Parsel_A,0.3655541804130695,8.4,0.5,0.4844562878822104
2025-02-14,Parsel_A,0.3655541804130695,0.0,1.2,0.5141818147494956
2025-02-15,Parsel_A,0.3655541804130695,0.0,7.4,0.5439073416167808
2025-02-16,Parsel_A,0.3655541804130695,0.0,10.6,0.5736328684840661
2025-02-17,Parsel_A,0.3952797072803547,0.0,11.9,0.6033583953513513
2025-02-18,Parsel_A,0.4250052341476399,3.8,10.7,0.6330839222186365
2025-02-19,Parsel_A,0.45473076101492516,2.8,6.5,0.6628094490859218
2025-02-20,Parsel_A,0.4844562878822104,0.0,1.3,0.6649647668135499
2025-02-21,Parsel_A,0.5141818147494956,0.0,-2.0,0.6671200845411781
2025-02-22,Parsel_A,0.5439073416167808,0.2,-1.7,0.6692754022688063
2025-02-23,Parsel_A,0.5736328684840661,0.0,-2.3,0.6714307199964344
2025-02-24,Parsel_A,0.6033583953513513,0.0,-1.0,0.6735860377240626
2025-02-25,Parsel_A,0.6330839222186365,0.0,4.4,0.6757413554516908
2025-02-26,Parsel_A,0.6628094490859218,0.0,8.2,0.677896673179319
2025-02-27,Parsel_A,0.6649647668135499,0.0,9.0,0.6800519909069471
2025-02-28,Parsel_A,0.6671200845411781,0.0,9.9,0.6822073086345752
2025-03-01,Parsel_A,0.6692754022688063,0.6,10.4,0.6843626263622035
2025-03-02,Parsel_A,0.6714307199964344,0.0,12.9,0.6102882253103342
2025-03-03,Parsel_A,0.6735860377240626,4.7,5.9,0.5362138242584649
2025-03-04,Parsel_A,0.6757413554516908,0.0,8.9,0.4621394232065956
2025-03-05,Parsel_A,0.677896673179319,0.0,12.5,0.3880650221547263
2025-03-06,Parsel_A,0.6800519909069471,0.0,14.4,0.313990621102857
2025-03-07,Parsel_A,0.6822073086345752,0.0,14.5,0.40047315028564867
2025-03-08,Parsel_A,0.6843626263622035,0.0,16.1,0.4869556794684403
2025-03-09,Parsel_A,0.6102882253103342,0.0,18.7,0.5092504694731508
2025-03-10,Parsel_A,0.5362138242584649,0.0,19.1,0.5315452594778612
2025-03-11,Parsel_A,0.4621394232065956,0.0,20.9,0.5538400494825717
2025-03-12,Parsel_A,0.3880650221547263,0.0,21.5,0.5761348394872821
2025-03-13,Parsel_A,0.313990621102857,0.0,22.0,0.5984296294919925
2025-03-14,Parsel_A,0.40047315028564867,0.0,23.1,0.620724419496703
2025-03-15,Parsel_A,0.4869556794684403,0.0,25.0,0.6430192095014134
2025-03-16,Parsel_A,0.5092504694731508,0.0,27.5,0.6653139995061239
2025-03-17,Parsel_A,0.5315452594778612,1.0,23.2,0.6178412153499
2025-03-18,Parsel_A,0.5538400494825717,0.2,18.7,0.5703684311936761
2025-03-19,Parsel_A,0.5761348394872821,1.9,8.8,0.5612817966667927
2025-03-20,Parsel_A,0.5984296294919925,1.3,0.8,0.5521951621399093
2025-03-21,Parsel_A,0.620724419496703,0.0,2.9,0.5431085276130259
2025-03-22,Parsel_A,0.6430192095014134,0.0,8.9,0.5340218930861426
2025-03-23,Parsel_A,0.6653139995061239,0.0,14.8,0.5249352585592592
2025-03-24,Parsel_A,0.6178412153499,0.0,19.2,0.5158486240323757
2025-03-25,Parsel_A,0.5703684311936761,0.0,23.2,0.5067619895054923
2025-03-26,Parsel_A,0.5612817966667927,0.1,24.6,0.49767535497860893
2025-03-27,Parsel_A,0.5521951621399093,0.0,25.2,0.4885887204517256
2025-03-28,Parsel_A,0.5431085276130259,0.0,25.1,0.47950208592484217
2025-03-29,Parsel_A,0.5340218930861426,0.0,20.8,0.4704154513979588
2025-03-30,Parsel_A,0.5249352585592592,0.0,18.9,0.4613288168710754
2025-03-31,Parsel_A,0.5158486240323757,0.4,18.0,0.452242182344192
2025-04-01,Parsel_A,0.5067619895054923,1.4,18.7,0.425274206556354
2025-04-02,Parsel_A,0.49767535497860893,0.3,17.3,0.398306230768516
2025-04-03,Parsel_A,0.4885887204517256,0.3,16.4,0.37133825498067796
2025-04-04,Parsel_A,0.47950208592484217,5.5,16.6,0.34437027919283997
2025-04-05,Parsel_A,0.4704154513979588,0.1,17.6,0.317402303405002
2025-04-06,Parsel_A,0.4613288168710754,0.0,18.0,0.3351026985435937
2025-04-07,Parsel_A,0.452242182344192,0.0,20.2,0.3528030936821855
2025-04-08,Parsel_A,0.425274206556354,0.3,20.4,0.3705034888207772
2025-04-09,Parsel_A,0.398306230768516,2.8,17.3,0.388203883959369
2025-04-10,Parsel_A,0.37133825498067796,6.7,7.3,0.40590427909796073
2025-04-11,Parsel_A,0.34437027919283997,0.2,12.4,0.4132168975156456
2025-04-12,Parsel_A,0.317402303405002,0.0,9.8,0.4205295159333305
2025-04-13,Parsel_A,0.3351026985435937,1.0,9.1,0.42784213435101537
2025-04-14,Parsel_A,0.3528030936821855,0.0,8.6,0.43515475276870025
2025-04-15,Parsel_A,0.3705034888207772,0.0,13.8,0.44246737118638513
2025-04-16,Parsel_A,0.388203883959369,0.0,18.0,0.45169726785331427
2025-04-17,Parsel_A,0.40590427909796073,0.0,22.6,0.46092716452024335
2025-04-18,Parsel_A,0.4132168975156456,0.0,25.5,0.4701570611871725
2025-04-19,Parsel_A,0.4205295159333305,0.0,26.4,0.47938695785410157
2025-04-20,Parsel_A,0.42784213435101537,0.0,22.9,0.4886168545210307
2025-04-21,Parsel_A,0.43515475276870025,0.0,24.5,0.4978467511879598
